Nhiệt tình giảng dạy,bình thường,,,,,
Môn học của thầy rất thú vị Kiến thức thức giảng dạy rất sâu sắc,bình thường,,,,,
tốt ,bình thường,,,,,
không ý kiến,bình thường,,,,,
dạy lý thuyết chiếm nhìu chưa đi đôi vs thực hành tạo không khí chán nãn,bình thường,,,,,
giáo viên giảng dạy tốt cần nhiệt tình hơn với học sinh,bình thường,,,,,
thầy dạy dễ hiểu và nhiệt tình,bình thường,,,,,
TỐt,bình thường,,,,,
Em thích cách giảng bài của thầy ,bình thường,,,,,
không ý kiến,bình thường,,,,,
không có gì,bình thường,,,,,
Thầy giảng dễ hiểu,bình thường,,,,,
giảng dạy nhiệt tìnhvui vẻ có kiến thức rộng nhưng truyền đạt chưa tốt lắm,bình thường,,,,,
tốt,bình thường,,,,,
Thầy dạy rất chán kiến thức thì tạm ổn Cách dạy rất không khoa học cư sử không đúng mực với sinh viên gì mà trả bài cũ không được lại bắc hít đất E chã hiễu thầy cư xử sao nữa,bình thường,,,,,
chưa tốt,bình thường,,,,,
Giảng viên dạy nhiệt tình nội dung bài dễ hiểu rõ ràng,bình thường,,,,,
Giáo viên dạy tốt,bình thường,,,,,
Dạy bình thường giảng dạy cho sinh viên không nhiệt tình,bình thường,,,,,
CHi dân không tân tinh,bình thường,,,,,
Thầy vui tính gần gũi với sinh viên,bình thường,,,,,
Tốt,bình thường,,,,,
Thầy dạy không nhiệt tình chấm bài cho sinh viên rất thấp điểm mặc dù làm đúng bài không hài lòng về cách giảng dạy,bình thường,,,,,
mong thầy trình bày slide bài giảng chữ to hơn ,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
được,bình thường,,,,,
giảng viên dạy tốt,bình thường,,,,,
học rất vui và thoải mái lắm ạ,bình thường,,,,,
Giảng viên dạy quá nhàm chán,bình thường,,,,,
không có ý kiến ,bình thường,,,,,
không đề xuất,bình thường,,,,,
Tốt,bình thường,,,,,
không,bình thường,,,,,
Rất tốt,bình thường,,,,,
vui vẻ dễ hiểu,bình thường,,,,,
Thầy tận tâm,bình thường,,,,,
tốt,bình thường,,,,,
Giáo viên giảng dạy nhiệt tình hăng say Bài giảng sinh động giúp học sinh dễ tiếp thu bài,bình thường,,,,,
tốt,bình thường,,,,,
thầy dạy tốt,bình thường,,,,,
rất tốt,bình thường,,,,,
giảng viên nhiệt tình trong giảng dạy,bình thường,,,,,
tốt,bình thường,,,,,
Tốt,bình thường,,,,,
giáo viên dạy tốt,bình thường,,,,,
Ok,bình thường,,,,,
good,bình thường,,,,,
Thầy dạy giỏi,bình thường,,,,,
thích,bình thường,,,,,
sao k cho tick vô co hêt vây ,bình thường,,,,,
tốt,bình thường,,,,,
giảng hay nên gợi ý hướng đi cho sinh vien về giải quyêt bài tập,bình thường,,,,,
không có,bình thường,,,,,
tích cực tốt,bình thường,,,,,
Hay,bình thường,,,,,
tốt,bình thường,,,,,
Cô thân thiện và các tiết học đều rất thú vị,bình thường,,,,,
tốt,bình thường,,,,,
Không có,bình thường,,,,,
có tâm huyết,bình thường,,,,,
tạm ổn,bình thường,,,,,
giảng dạy nhiệt tình,bình thường,,,,,
Tốt,bình thường,,,,,
Không,bình thường,,,,,
Thầy nên cho làm bài tập nhiều hơn vì đề thi phần bài tập quá khó,bình thường,,,,,
thầy nhiệt tình dạy dễ hiểu,bình thường,,,,,
Không có đề xuất,bình thường,,,,,
Giáo viên dạy rất nhiệt tình ,bình thường,,,,,
Tốt,bình thường,,,,,
Thầy dạy dễ hiểu Môn học không khó lắm Dễ học,bình thường,,,,,
không có ý kiến gì thêm,bình thường,,,,,
Rất tốt,bình thường,,,,,
Không nhận xét,bình thường,,,,,
k ý kiến,bình thường,,,,,
thầy dạy hay dễ hiểu làm bài tập nhiều để thi và kiểm tra tốt điểm cao,bình thường,,,,,
Không có,bình thường,,,,,
thầy và cách dạy của thầy em rất nhiệt tình và quyết tâm,bình thường,,,,,
thay dạy cung tốt,bình thường,,,,,
ok,bình thường,,,,,
Giảng viên dạy tốt,bình thường,,,,,
Không  có đề xuất gì thêm,bình thường,,,,,
thầy dạy rất sát bài học,bình thường,,,,,
Không có ý kiến,bình thường,,,,,
Tốt,bình thường,,,,,
Không có ý kiến ,bình thường,,,,,
Tốt,bình thường,,,,,
Em cảm ơn Thầy đã truyền đạt những kiến thức bổ ích về môn Kiến trúc máy tính,bình thường,,,,,
tích cực,bình thường,,,,,
Cảm ơn thầy,bình thường,,,,,
không có đề xuất,bình thường,,,,,
rất tốt,bình thường,,,,,
Tốt,bình thường,,,,,
K ý kiến,bình thường,,,,,
Thầy Hào dạy lý thuyết dạy hay hiểu tâm lý sinh viên,bình thường,,,,,
Gv giảng dạy nhiệt tình nội dung rõ ràng dễ hiểu,bình thường,,,,,
nản,bình thường,,,,,
thầy dạy rất chu đáo giảng rất dễ hiểu,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
tốt,bình thường,,,,,
Tốt,bình thường,,,,,
Vì không đi học đầy đủ nên không biết,bình thường,,,,,
Không ý kiến,bình thường,,,,,
tốt,bình thường,,,,,
tốt ,bình thường,,,,,
tôt,bình thường,,,,,
dạy khó hiểu như sách đọc ra ,bình thường,,,,,
đồng ý,bình thường,,,,,
ok,bình thường,,,,,
Không có ý kiến,bình thường,,,,,
tốt,bình thường,,,,,
 em k có ý kiến gì ,bình thường,,,,,
không,bình thường,,,,,
tốt,bình thường,,,,,
không,bình thường,,,,,
TOT,bình thường,,,,,
dạy rất tốt,bình thường,,,,,
tốt,bình thường,,,,,
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,bình thường,,,,,
tốt,bình thường,,,,,
không,bình thường,,,,,
giảng viên rất gần với sinh viên,bình thường,,,,,
không có ,bình thường,,,,,
không có gì,bình thường,,,,,
không có,bình thường,,,,,
thầy giáo giỏi,bình thường,,,,,
không,bình thường,,,,,
tốt,bình thường,,,,,
tốt,bình thường,,,,,
tốt,bình thường,,,,,
không có ý kiến,bình thường,,,,,
Ok,bình thường,,,,,
quan tâm sinh viên,bình thường,,,,,
cảm thấy hài lòng,bình thường,,,,,
môn học khá khó hiểu,bình thường,,,,,
Rất hài lóng,bình thường,,,,,
Cô là người tuyệt vời nhất mà e từng thấy  ,bình thường,,,,,
khá hài lòng,bình thường,,,,,
cô nên dạy nhiệt tình hơn,bình thường,,,,,
tốt,bình thường,,,,,
good,bình thường,,,,,
không co,bình thường,,,,,
Giảng viên dạy  rất dễ hiểu,bình thường,,,,,
Thầy dạy hay,bình thường,,,,,
Thầy giảng bài dễ hiểu,bình thường,,,,,
cô dạy nhiệt tình,bình thường,,,,,
tốt,bình thường,,,,,
Giảng viên giảng dạy tốt nhiệt tình,bình thường,,,,,
Ổn,bình thường,,,,,
Không có ý kiến gì thêm,bình thường,,,,,
Không có,bình thường,,,,,
Rất tốt ạ ,bình thường,,,,,
thầy dạy tốt,bình thường,,,,,
không ý kiến,bình thường,,,,,
em muốn cô dạy chúng em nhiều hơn nữa cô dạy bọn em rất hiểu bài,bình thường,,,,,
Tốt,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
thời gian học cần được kéo dài thêm,bình thường,,,,,
ổn,bình thường,,,,,
Tốt,bình thường,,,,,
không ý kiến,bình thường,,,,,
Tốt,bình thường,,,,,
Tồt,bình thường,,,,,
thầy giản dạy hay và dễ hiểu,bình thường,,,,,
giảng viên nhiệt tinh,bình thường,,,,,
Cô dạy dễ hiểu nhiệt tình Môn học có cô dạy quá tuyệt vời,bình thường,,,,,
tốt,bình thường,,,,,
Cô rất nhiệt tình và dạy dễ hiểu,bình thường,,,,,
không có đề xuất gì,bình thường,,,,,
Giảng viên giảng dạy tốt,bình thường,,,,,
môn này hơi khó,bình thường,,,,,
tốt,bình thường,,,,,
Thầy dạy dễ hiểu,bình thường,,,,,
Cô dạy rất nhiệt tình và dễ hiểu,bình thường,,,,,
không,bình thường,,,,,
không ý kiến ,bình thường,,,,,
Giảng viên dạy tốt,bình thường,,,,,
tốt,bình thường,,,,,
Cô day nhiêt tinh va rât dê hiêu,bình thường,,,,,
Thầy dạy hay và rất năng nổ,bình thường,,,,,
Rất tốt  ,bình thường,,,,,
giáo viên dạy tốt,bình thường,,,,,
Thầy dạy tốtdễ hiểu,bình thường,,,,,
hay,bình thường,,,,,
Không,bình thường,,,,,
tốt,bình thường,,,,,
Tốt,bình thường,,,,,
không có ý kiến,bình thường,,,,,
Tuyệt,bình thường,,,,,
good,bình thường,,,,,
Cô dạy kỹ,bình thường,,,,,
Thầy vui tính tạo hứng thú cho sinh viên luôn có bài tập để sinh viên cải thiện kiến thức,bình thường,,,,,
K có nhận xét,bình thường,,,,,
ghét,bình thường,,,,,
Tồi,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
good,bình thường,,,,,
tốt,bình thường,,,,,
tốt,bình thường,,,,,
môn học khá hack não nhưng hay,bình thường,,,,,
tốt,bình thường,,,,,
Cô dễ thương nhiệt tình,bình thường,,,,,
không có nhận xét,bình thường,,,,,
Rất tốt,bình thường,,,,,
mong cô giảng dễ hiểu và chậm hơn ,bình thường,,,,,
Tốt,bình thường,,,,,
tốt,bình thường,,,,,
 em k có ý kiến gì ,bình thường,,,,,
Cô rất dễ thương hy vọng sẽ gặp lại được cô,bình thường,,,,,
Ok,bình thường,,,,,
không,bình thường,,,,,
Tốt,bình thường,,,,,
không có ý kiến,bình thường,,,,,
Cô dạy dễ hiểu và tận tâm,bình thường,,,,,
Vẫn là một môn rất khó học ,bình thường,,,,,
thầy dạy dễ hiểu ,bình thường,,,,,
cô dạy rất dễ hiểu nhiệt tình ,bình thường,,,,,
Binh thương,bình thường,,,,,
không có đề xuất,bình thường,,,,,
tốt không có đề xuất,bình thường,,,,,
dễ hiểu,bình thường,,,,,
không y kiến,bình thường,,,,,
tận tình giảng dạy,bình thường,,,,,
Không có,bình thường,,,,,
Cô giảng dạy nhiệt tình,bình thường,,,,,
tốt,bình thường,,,,,
cô dạy rất tốt dễ hiểu cực ti mỉ,bình thường,,,,,
không có nhận xét,bình thường,,,,,
Không có,bình thường,,,,,
hài lòng,bình thường,,,,,
like,bình thường,,,,,
Không ý kiến,bình thường,,,,,
Giáo viên nhiệt tình dạy hay có tâm huyết,bình thường,,,,,
Tôt,bình thường,,,,,
môn học rất hay,bình thường,,,,,
Thầy dạy tốt,bình thường,,,,,
tốt,bình thường,,,,,
Giáo viên dạy thực hành tính điểm khó hiểu,bình thường,,,,,
0,bình thường,,,,,
trình bày chính xác các kiến thức cơ bản,bình thường,,,,,
không có nhận xét ,bình thường,,,,,
dạy sôi nổinhiệt tình,bình thường,,,,,
Không có ý kiến,bình thường,,,,,
tốt,bình thường,,,,,
Không có đề xuất,bình thường,,,,,
Tốt,bình thường,,,,,
Thầy dậy dễ hiểu,bình thường,,,,,
Được,bình thường,,,,,
Nhiet tinh trong thuc hanh,bình thường,,,,,
giao viên nhiêt tinh,bình thường,,,,,
tốt,bình thường,,,,,
thầy dạy tốt  nhưng do thầy nói giọng miền trung nên riêng em có thể nghe giảng không rõ cho lắm ,bình thường,,,,,
Tôt,bình thường,,,,,
giảng viên có chuyên môn và nhiệt tình,bình thường,,,,,
ok,bình thường,,,,,
Giảng viên rất nhiệt tình với sinh viên không có đề xuất gì với môn học này,bình thường,,,,,
cô dạy được,bình thường,,,,,
giảng dạy tốt,bình thường,,,,,
không ý kiến,bình thường,,,,,
ok,bình thường,,,,,
tốt,bình thường,,,,,
giáo viên tốt lắm ạ,bình thường,,,,,
hài lòng,bình thường,,,,,
rất hài lòng,bình thường,,,,,
giáo viên nhiệt tình,bình thường,,,,,
Cuc ki nhiệt tình,bình thường,,,,,
Tốt,bình thường,,,,,
Giao viên day rât nhiêt tinh va thân thiên,bình thường,,,,,
rất hai long,bình thường,,,,,
Môn học rất hay cô giáo giảng bài dễ hiểu,bình thường,,,,,
Chỉ dẫn nhiệt tình,bình thường,,,,,
Không có gì,bình thường,,,,,
Cô dạy được,bình thường,,,,,
Giảng viên dạy vui vẻ nhiệt tình với sinh viên,bình thường,,,,,
Rất hài lòng,bình thường,,,,,
Không co nhân xet,bình thường,,,,,
good,bình thường,,,,,
tốt,bình thường,,,,,
Chưa có nhiều kinh nghiệm kiến thức như sv  cô điệu quá,bình thường,,,,,
Cô dạy rất nhiệt tình và rất vui tính,bình thường,,,,,
dễ hiểu,bình thường,,,,,
dạy tốt,bình thường,,,,,
K có,bình thường,,,,,
không có,bình thường,,,,,
tốt,bình thường,,,,,
cô dạy hay dễ hiểu,bình thường,,,,,
giảng viên dạy tương đối,bình thường,,,,,
Môn học rất cần thiết cho các bạn học ngành Công Nghệ Thông Tin Nếu được nhà trường cung cấp thêm những ứng dụng bản quyền cho Sinh Viên có thể học tập tốt hơn thay vì phải suốt ngày đi mò Crack để sử dụng,bình thường,,,,,
em không có ý kiến gì,bình thường,,,,,
Cô dạy dễ hiểu vui tính gần gũi với sinh viênCông bằng trong việc đi học và điểm số,bình thường,,,,,
toi không co ý kiến gi them,bình thường,,,,,
không,bình thường,,,,,
tốt,bình thường,,,,,
không,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
Không có,bình thường,,,,,
không co nhan xet,bình thường,,,,,
cô vân anh rât cool dê tinh dê thương day noi năn nhe nhang dê hiêu nhiêt tinh vui tinh vv noi chung rât ok,bình thường,,,,,
Cô dạy hay rất thích,bình thường,,,,,
tôt,bình thường,,,,,
Tất cả đều tốt,bình thường,,,,,
Cô dạy dễ tiếp thu và tận tình chỉ sinh viên  nhất là lúc thực hành,bình thường,,,,,
không co nhan xet,bình thường,,,,,
cô dạy chưa hay lắm,bình thường,,,,,
không có nhận xét,bình thường,,,,,
Giảng viên nhiệt tình giảng bài hay,bình thường,,,,,
Cô day nhiêt tinh,bình thường,,,,,
không có nhận xét,bình thường,,,,,
GV dạy tốt,bình thường,,,,,
Không có ý kiến,bình thường,,,,,
tốt,bình thường,,,,,
không có ý kiến,bình thường,,,,,
Thầy dạy rất kỉ có kiến thức sâu rộng và dể hiểu,bình thường,,,,,
Không co y kiên gi thêm,bình thường,,,,,
giảng bài rất hay,bình thường,,,,,
Giảng viên dạy tốt,bình thường,,,,,
không ý kiến,bình thường,,,,,
Tốt,bình thường,,,,,
tốt,bình thường,,,,,
khá hài lòng với cách giảng dạy của giàng viên,bình thường,,,,,
Dạy tốt giúp sinh viên mau tiếp thu,bình thường,,,,,
cảm thấy cô dạy khá là tù chả có gì hứng thú đối với mình nói riêng và tất cả bạn mình nói chung mình góp ý cô nên thay đổi cách giảng dạy và hòa đồng với sinh viên hơn,bình thường,,,,,
